date,total,covid+_deaths,total_deaths,admissions,discharges,covid_discharges,pneumonia,covid,covid_pregnant,covid_suspected,mild%,severe%,covid_pneumonia,covid_icu,total_icu,total_oxygen,covid_vent,total_vent,total_vent_ratio,total_icu_ratio
14.05.2020,1351,,,175,165,,1284,803,114,,82,12,,64,162,778,,54,4.00,11.99
15.05.2020,1357,,,155,149,,1296,777,109,,82,12,,71,161,785,,48,3.54,11.86
16.05.2020,1330,,,153,180,,1270,826,99,,84,11,,77,152,785,,52,3.91,11.43
17.05.2020,1344,,,146,132,,1283,831,109,,84,12,,83,163,786,,53,3.94,12.13
18.05.2020,1352,,,108,100,,1279,827,105,,83,11,,77,155,786,,55,4.07,11.46
19.05.2020,1329,,,146,169,,1260,804,89,,82,12,,76,163,786,,61,4.59,12.26
20.05.2020,1276,,,123,176,,1213,833,73,,79,11,,71,149,784,,58,4.55,11.68
21.05.2020,1232,,,118,162,,1176,759,75,,83,11,,77,141,759,,57,4.63,11.44
22.05.2020,1190,,,113,155,,1150,786,59,,83,12,,63,138,784,,59,4.96,11.60
23.05.2020,1145,,,117,162,,1080,724,57,,83,12,,72,138,,,57,4.98,12.05
24.05.2020,1136,,,87,96,,1090,709,57,,82,13,,67,147,,,54,4.75,12.94
25.05.2020,1152,,,120,104,,1143,718,58,,83,13,,68,147,,,52,4.51,12.76
26.05.2020,1136,,,134,150,,1095,698,42,,82,12,,63,138,,,49,4.31,12.15
27.05.2020,1120,,,140,156,,1077,684,45,,82,13,,70,147,,,51,4.55,13.13
28.05.2020,1110,,,126,136,,1059,678,34,,81,14,,74,150,,,48,4.32,13.51
29.05.2020,1082,,,119,147,,1030,620,30,,81,13,,73,145,,,45,4.16,13.40
30.05.2020,1080,,,149,151,,1035,642,22,,81,14,,70,151,,,49,4.54,13.98
31.05.2020,1118,,,121,84,,1073,546,22,,84,14,,73,156,,,49,4.38,13.95
01.06.2020,1141,,,97,74,,1099,684,31,,84,13,,73,151,,,52,4.56,13.23
02.06.2020,1169,,,168,140,,1136,692,29,,81,14,,83,162,,,60,5.13,13.86
03.06.2020,1155,,,135,149,,1109,623,29,,82,13,,68,149,,,59,5.11,12.90
04.06.2020,1162,,,152,145,,1116,634,35,,82,13,,61,153,,,61,5.25,13.17
05.06.2020,1167,,,134,129,,1130,624,25,,82,13,,68,155,,,68,5.83,13.28
06.06.2020,1160,,,133,140,,1121,635,25,,83,13,,66,151,,,59,5.09,13.02
07.06.2020,1167,,,114,116,,1137,627,30,,84,12,,65,141,,,54,4.63,12.08
08.06.2020,1218,,,123,72,,1164,624,34,,84,13,,71,158,,,57,4.68,12.97
09.06.2020,1211,,,147,154,,1167,738,26,,81,13,,70,159,,,60,4.95,13.13
10.06.2020,1191,,,147,167,,1154,648,21,,82,13,,63,150,,,60,5.04,12.59
11.06.2020,1170,,,146,166,,1125,634,26,,82,13,,59,150,,,62,5.30,12.82
12.06.2020,1147,,,142,165,,1108,607,22,,82,14,,60,156,,,62,5.41,13.60
13.06.2020,1117,,,85,116,,1073,613,27,,83,14,,57,155,,,58,5.19,13.88
14.06.2020,1120,,,93,90,,1091,623,30,,84,14,,64,152,,,61,5.45,13.57
15.06.2020,1125,,,87,82,,1099,614,33,,82,14,,56,162,,,59,5.24,14.40
16.06.2020,1094,,,104,135,,1051,503,32,,82,13,,51,140,,,52,4.75,12.80
17.06.2020,1075,,,114,133,,1032,521,30,,82,13,,46,141,,,53,4.93,13.12
18.06.2020,1060,,,103,118,,1006,512,28,,79,15,,44,157,,,52,4.91,14.81
19.06.2020,1040,,,118,140,,994,500,28,,80,15,,41,151,,,47,4.52,14.52
20.06.2020,1041,,,137,141,,1011,457,32,,81,16,,50,162,,,47,4.51,15.56
21.06.2020,1046,,,112,107,,1020,348,31,,82,16,,56,165,,,45,4.30,15.77
22.06.2020,1065,,,82,63,,1025,475,27,,81,15,,50,155,,,49,4.60,14.55
23.06.2020,1095,,,143,113,,1046,436,30,,82,13,,46,145,,,48,4.38,13.24
24.06.2020,1092,,,115,118,,1049,427,23,,83,13,,50,147,,,50,4.58,13.46
25.06.2020,1103,,,94,83,,1063,432,22,,82,13,,43,148,,,52,4.71,13.42
26.06.2020,1103,,,105,105,,1059,446,15,,82,13,,46,144,,,40,3.63,13.06
27.06.2020,1061,,,82,124,,1026,457,17,,83,14,,56,146,,,44,4.15,13.76
28.06.2020,1037,,,82,106,,994,443,14,,84,14,,56,140,,,40,3.86,13.50
29.06.2020,1062,,,79,54,,1016,471,23,,82,15,,57,155,,,47,4.43,14.60
30.06.2020,1058,,,85,114,,1009,409,24,,81,15,,52,156,,,48,4.54,14.74
01.07.2020,1029,,,86,115,,984,414,20,,81,15,,53,159,,,47,4.57,15.45
02.07.2020,1000,,,49,89,,958,425,21,,82,15,,52,150,,,42,4.20,15.00
03.07.2020,979,,,97,118,,942,450,15,,80,15,,44,148,,,45,4.60,15.12
04.07.2020,951,,,104,132,,924,411,14,,82,15,,43,140,,,54,5.68,14.72
05.07.2020,936,,,71,86,,902,424,15,,83,14,,45,135,,,55,5.88,14.42
06.07.2020,972,,,92,56,,927,412,14,,82,14,,43,140,,,48,4.94,14.40
07.07.2020,963,,,101,110,,921,392,8,,83,14,,43,132,,,45,4.67,13.71
08.07.2020,991,,,141,113,,958,402,8,,82,13,,48,132,,,44,4.44,13.32
09.07.2020,994,,,114,111,,957,371,9,,81,15,,54,150,,,54,5.43,15.09
10.07.2020,968,,,80,106,,931,388,8,,81,15,,41,145,,,44,4.55,14.98
11.07.2020,943,,,87,112,,904,400,5,,82,14,,40,131,,,39,4.14,13.89
12.07.2020,962,,,95,76,,922,428,8,,84,14,,36,131,,,40,4.16,13.62
13.07.2020,978,,,72,56,,934,398,9,,83,14,,39,137,,,43,4.40,14.01
14.07.2020,959,,,98,117,,918,426,5,,84,13,,40,120,,,39,4.07,12.51
15.07.2020,957,,,108,110,,917,394,6,,83,13,,37,126,,,45,4.70,13.17
16.07.2020,953,,,89,93,,922,404,5,,82,14,,43,136,,,53,5.56,14.27
17.07.2020,940,,,84,97,,910,381,7,,81,15,,42,142,,,52,5.53,15.11
18.07.2020,910,,,98,128,,878,391,6,,83,14,,39,129,,,44,4.84,14.18
19.07.2020,908,,,62,64,,876,407,6,,85,14,,40,127,,,45,4.96,13.99
20.07.2020,923,,,67,52,,886,393,7,,85,14,,36,134,,,43,4.66,14.52
21.07.2020,935,,,118,106,,898,401,8,,82,15,,36,138,,,38,4.06,14.76
22.07.2020,928,,,111,118,,897,396,7,,82,14,,41,132,,,40,4.31,14.22
23.07.2020,928,,,99,99,,898,381,7,,81,16,,42,144,,,45,4.85,15.52
24.07.2020,957,,,132,104,,926,415,6,,82,15,,35,139,,,44,4.60,14.52
25.07.2020,962,,,128,123,,934,403,6,,83,14,,34,136,,,39,4.05,14.14
26.07.2020,948,,,73,87,,928,446,6,,83,15,,34,140,,,37,3.90,14.77
27.07.2020,984,,,97,61,,949,391,9,,82,15,,34,150,,,39,3.96,15.24
28.07.2020,1013,,,144,116,,986,445,10,,84,13,,36,133,,,37,3.65,13.13
29.07.2020,1031,,,123,104,,1003,456,10,,82,14,,39,141,,,44,4.27,13.68
30.07.2020,1033,,,137,135,,998,485,10,,82,14,,42,149,,,45,4.36,14.42
31.07.2020,1066,,,137,104,,1030,472,8,,82,13,,44,143,,,49,4.60,13.41
01.08.2020,1044,,,100,122,,1016,491,,,,,,,,,,,0.00,0.00
02.08.2020,1054,,,90,80,,1031,516,12,,84,13,,46,140,,,45,4.27,13.28
03.08.2020,1074,,,100,80,,1045,502,13,,85,13,,40,139,,,43,4.00,12.94
04.08.2020,1060,,,114,128,,1025,527,12,,84,13,,44,135,,,39,3.68,12.74
05.08.2020,1070,,,122,112,,1038,522,12,,83,13,,40,141,,,44,4.11,13.18
06.08.2020,1080,,,121,111,,1037,510,9,,83,12,,48,134,,,45,4.17,12.41
07.08.2020,1094,,,120,106,,1055,500,16,,84,12,,39,132,,,45,4.11,12.07
08.08.2020,1092,,,124,126,,1054,538,12,,85,12,,47,136,,,48,4.40,12.45
09.08.2020,1155,,,123,75,,1110,566,13,,85,13,,52,146,,,47,4.07,12.64
10.08.2020,1186,,,110,78,,1150,547,13,,84,12,,49,144,,,43,3.63,12.14
11.08.2020,1229,,,166,123,,1193,530,11,,83,13,,49,156,,,44,3.58,12.69
12.08.2020,1241,,,149,137,,1218,554,15,,84,12,,55,147,,,41,3.30,11.85
13.08.2020,1254,,,139,126,,1218,557,18,,83,12,,62,156,,,50,3.99,12.44
